Provinsi/Kabupaten/Kota,,,,
,Pengeluaran per Kapita yang Disesuaikan menurut Jenis Kelamin (Ribu Rupiah/Orang/Tahun),,,
,Laki-laki,,Perempuan,
Puncak Jaya,8312,8780,2186,2272
Mimika,19432,20136,4188,4335
Boven Digoel,12314,12778,4168,4307
Mappi,10225,10655,4646,4831
Asmat,9852,10068,1582,1630
Yahukimo,9694,10164,3668,3803
Pegunungan Bintang,8348,8645,4531,4733
Tolikara,8822,9369,1984,2088
Sarmi,10079,10571,4608,4820
Keerom,13442,14008,6941,7229
Waropen,10976,11629,2564,2682
Supiori,8781,9303,3223,3373
Mamberamo Raya,7140,7589,3778,3968
Nduga,4146,4321,4685,4792
Lanny Jaya,4554,4751,5801,5941
Mamberamo Tengah,4630,4905,4785,4853
Yalimo,7365,7687,4650,4831
Puncak,5848,6253,4501,4653
Dogiyai,8470,9172,3522,3763
Intan Jaya,7967,8692,3422,3692
Deiyai,6758,7086,2562,2684
Kota Jayapura,18542,18659,13769,13829
PAPUA SELATAN,-,-,-,-
Merauke,-,-,-,-
Boven Digoel,-,-,-,-
Mappi,-,-,-,-
Asmat,-,-,-,-
PAPUA TENGAH,-,-,-,-
Mimika,-,-,-,-
Dogiyai,-,-,-,-
Deiyai,-,-,-,-
Nabire,-,-,-,-
Paniai,-,-,-,-
Intan Jaya,-,-,-,-
Puncak,-,-,-,-
Puncak Jaya,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-
Nduga,-,-,-,-
Jayawijaya,-,-,-,-
Lanny Jaya,-,-,-,-
Tolikara,-,-,-,-
Mamberamo Tengah,-,-,-,-
Yalimo,-,-,-,-
Yahukimo,-,-,-,-
Pegunungan Bintang,-,-,-,-
INDONESIA,16215,16736,9281,9579
